id,source_id,school,mascot,abbreviation,display_name,short_display_name,primary_color,secondary_color,current_venue_id,current_venue,current_city,current_state,conference_id,conference
231,2502,Portland State,Vikings,PRST,Portland State Vikings,Portland St,00311e,ebebeb,261,Viking Pavilion,Portland,OR,8,Big Sky
166,2771,Merrimack,Warriors,MRMK,Merrimack Warriors,Merrimack,2f4f93,e8c535,306,Hammel Court,North Andover,MA,16,MAAC
366,2815,Lindenwood,Lions,LIN,Lindenwood Lions,Lindenwood,101820,B5A36A,248,Hyland Arena,Saint Charles,MO,22,OVC
310,28,UC San Diego,Tritons,UCSD,UC San Diego Tritons,UC San Diego,182B49,FFCD00,315,LionTree Arena,San Diego,CA,11,Big West
21,91,Bellarmine,Knights,BELL,Bellarmine Knights,Bellarmine,000000,,299,Knights Hall,Louisville,KY,3,ASUN
288,2627,Tarleton State,Texans,TAR,Tarleton State Texans,Tarleton St,000000,,310,Wisdom Gym,Stephenville,TX,30,WAC
330,3101,Utah Tech,Trailblazers,UTU,Utah Tech Trailblazers,Utah Tech,000000,,314,Burns Arena,St. George,UT,30,WAC
129,256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,b5a068,66,Atlantic Union Bank Center,Harrisonburg,VA,29,Sun Belt
109,2272,High Point,Panthers,HPU,High Point Panthers,High Point,b0b7bc,ebebeb,222,Qubein Center,High Point,NC,9,Big South
142,2335,Liberty,Flames,LIB,Liberty Flames,Liberty,071740,a61f21,339,Liberty Arena,Lynchburg,VA,13,CUSA
325,2630,UT Martin,Skyhawks,UTM,UT Martin Skyhawks,UT Martin,FF6700,102a5c,241,Kathleen and Tom Elam Center,Martin,TN,22,OVC
280,2900,St. Thomas-Minnesota,Tommies,STMN,St. Thomas-Minnesota Tommies,St Thomas (MN),000000,,165,Schoenecker Arena,Saint Paul,MN,28,Summit
117,70,Idaho,Vandals,IDHO,Idaho Vandals,Idaho,000000,8c6e4a,172,ICCU Arena,Moscow,ID,8,Big Sky
295,251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,263,Moody Center,Austin,TX,24,SEC
76,2837,East Texas A&M,Lions,ETAM,East Texas A&M Lions,East Texas A&M,000000,,348,The Field House,Commerce,TX,27,Southland
365,88,Southern Indiana,Screaming Eagles,USI,Southern Indiana Screaming Eagles,So Indiana,CF102D,002D5D,259,Screaming Eagles Arena,Evansville,IN,22,OVC
284,284,Stonehill,Skyhawks,STO,Stonehill Skyhawks,Stonehill,000000,,28,Merkert Gymnasium,South Easton,MA,21,NEC
362,2511,Queens University,Royals,QUC,Queens University Royals,Queens,192C66,857040,85,Curry Arena,Charlotte,NC,3,ASUN
100,2247,Georgia State,Panthers,GAST,Georgia State Panthers,Georgia St,1e539a,ebebeb,69,GSU Convocation Center,Atlanta,GA,29,Sun Belt
83,2217,Fairfield,Stags,FAIR,Fairfield Stags,Fairfield,000000,ebebeb,362,Leo D. Mahoney Arena,Fairfield,CT,16,MAAC
4,2010,Alabama A&M,Bulldogs,AAMU,Alabama A&M Bulldogs,Alabama A&M,790000,ffffff,245,Event Center,Huntsville,AL,25,SWAC
17,2046,Austin Peay,Governors,APSU,Austin Peay Governors,Austin Peay,8e0b0b,,124,F&M Bank Arena,Clarksville,TN,3,ASUN
20,239,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,332,Foster Pavilion,Waco,TX,6,Big 12
140,2330,Le Moyne,Dolphins,LEM,Le Moyne Dolphins,Le Moyne,,,220,Ted Grant Court,Syracuse,NY,21,NEC
147,2344,Longwood,Lancers,LONG,Longwood Lancers,Longwood,003273,9ea2a3,105,Joan Perry Brock Center,Farmville,VA,9,Big South
346,2698,West Georgia,Wolves,WGA,West Georgia Wolves,West Georgia,0033a1,db1a21,375,The Coliseum,Carrollton,GA,3,ASUN
165,2385,Mercyhurst,Lakers,MERC,Mercyhurst Lakers,Mercyhurst,000000,,300,Mercyhurst Athletic Center,Erie,PA,21,NEC
270,2571,South Dakota State,Jackrabbits,SDST,South Dakota State Jackrabbits,S Dakota St,0033a0,ffd100,287,First Bank & Trust Arena,Brookings,SD,28,Summit
137,2325,La Salle,Explorers,LAS,La Salle Explorers,La Salle,003356,ffce00,94,John Glaser Arena,Philadelphia,PA,1,A-10
